No,Date,Time,Temp1,Temp2,Temp3
1,14 January 2025,11:02:49,15.80,15.80,15.80

2,14 January 2025,11:02:50,15.80,15.80,15.80

3,14 January 2025,11:02:51,15.80,15.80,15.80

4,14 January 2025,11:02:53,15.80,15.80,15.80

5,14 January 2025,11:02:54,15.80,15.80,15.80

6,14 January 2025,11:02:55,15.80,15.80,15.80

7,14 January 2025,11:02:56,15.90,15.90,15.90

8,14 January 2025,11:02:57,15.90,15.90,15.90

9,14 January 2025,11:02:58,15.90,15.90,15.90

10,14 January 2025,11:02:59,15.90,15.90,15.90

11,14 January 2025,11:03:00,15.90,15.90,15.90

12,14 January 2025,11:03:02,15.90,15.90,15.90

13,14 January 2025,11:03:03,15.90,15.90,15.90

14,14 January 2025,11:03:04,15.90,15.90,15.90

15,14 January 2025,11:03:05,15.90,15.90,15.90

